Q.No,Question,OptionA,OptionB,OptionC,OptionD,Answer,Method,Level
929,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
930,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
931,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
932,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
933,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
934,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
935,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
936,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
937,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
938,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
939,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
940,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
941,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
942,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
943,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
944,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
945,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
946,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
947,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
948,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
949,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
950,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
951,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
952,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
953,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
954,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
955,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
956,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
957,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
958,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
959,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
960,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
961,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
962,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
963,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
964,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
965,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
966,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
967,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
968,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
969,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
970,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
971,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
972,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
973,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
974,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
975,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
976,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
977,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
978,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
979,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
980,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
981,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
982,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
983,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
984,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
985,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
986,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
987,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
988,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
989,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
990,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
991,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
992,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
993,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
994,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
995,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
996,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
997,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
998,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
999,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
1000,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
